BLOCK 200 132
BLOCK 400 132
MTRAP 500 132 1375 132
PLATFORM 2306 64 2306 464
MTRAP 1857 400 1857 1160
MTRAP 1890 1160 1925 400
MTRAP 576 335 736 335
SPIKE 1295 285
SPIKE 426 478
SPIKE 842 478
SPIKE 922 478
SPIKE 397 222
SPIKE 920 1118
SPIKE 1000 1118
SPIKE 1080 1118
SPIKE 365 990
SPIKE 285 990
CHEESE 426 404
CHEESE 2482 60
CHEESE 418 64
CHEESE 214 64
BCHEESE 2426 660
HEART 2100 648
CHEESE 1434 636
MTRAP 1125 650 1770 650
JAR 620 636
MTRAP 86 645 580 645
CHEESE 86 764
MTRAP 73 765 73 530
MTRAP 136 815 136 530
